Order,PID,MS SubClass,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Misc Val,Mo Sold,Yr Sold,SalePrice,SalePrice_log
1,526301100,20,141.0,31770,6,5,1960,1960,112.0,3,3,3,4,3,3,639.0,0,0.0,441.0,1080.0,2,1656,0,0,1656,1.0,0.0,1,0,3,1,3,7,8,2,4,1960.0,3,2.0,528.0,3,3,1,210,62,0,0,0,0,0,0,5,2010,215000,12.278397958261774
2,526350040,20,80.0,11622,5,6,1961,1961,0.0,3,3,3,3,0,2,468.0,1,144.0,270.0,882.0,3,896,0,0,896,0.0,0.0,1,0,2,1,3,5,8,0,0,1961.0,1,1.0,730.0,3,3,2,140,0,0,0,120,0,0,0,6,2010,105000,11.561725152903833
3,526351010,20,81.0,14267,6,6,1958,1958,108.0,3,3,3,3,0,4,923.0,0,0.0,406.0,1329.0,3,1329,0,0,1329,0.0,0.0,1,1,3,1,4,6,8,0,0,1958.0,1,1.0,312.0,3,3,2,393,36,0,0,0,0,0,12500,6,2010,172000,12.055255569732177
4,526353030,20,93.0,11160,7,5,1968,1968,0.0,4,3,3,3,0,4,1065.0,0,0.0,1045.0,2110.0,5,2110,0,0,2110,1.0,0.0,2,1,3,1,5,8,8,2,3,1968.0,3,2.0,522.0,3,3,2,0,0,0,0,0,0,0,0,4,2010,244000,12.404927602627597
5,527105010,60,74.0,13830,5,5,1997,1998,0.0,3,3,4,3,0,5,791.0,0,0.0,137.0,928.0,4,928,701,0,1629,0.0,0.0,2,1,3,1,3,6,8,1,3,1997.0,3,2.0,482.0,3,3,2,212,34,0,0,0,0,0,0,3,2010,189900,12.15425816271595
6,527105030,60,78.0,9978,6,6,1998,1998,20.0,3,3,3,3,0,5,602.0,0,0.0,324.0,926.0,5,926,678,0,1604,0.0,0.0,2,1,3,1,4,7,8,1,4,1998.0,3,2.0,470.0,3,3,2,360,36,0,0,0,0,0,0,6,2010,195500,12.18332077348399
7,527127150,120,41.0,4920,8,5,2001,2001,0.0,4,3,4,3,1,5,616.0,0,0.0,722.0,1338.0,5,1338,0,0,1338,1.0,0.0,2,0,2,1,4,6,8,0,0,2001.0,3,2.0,582.0,3,3,2,0,0,170,0,0,0,0,0,4,2010,213500,12.271396795480596
8,527145080,120,43.0,5005,8,5,1992,1992,0.0,4,3,4,3,0,4,263.0,0,0.0,1017.0,1280.0,5,1280,0,0,1280,0.0,0.0,2,0,2,1,4,5,8,0,0,1992.0,2,2.0,506.0,3,3,2,0,82,0,0,144,0,0,0,1,2010,191500,12.162648309521318
9,527146030,120,39.0,5389,8,5,1995,1996,0.0,4,3,4,3,0,5,1180.0,0,0.0,415.0,1595.0,5,1616,0,0,1616,1.0,0.0,2,0,2,1,4,5,8,1,3,1995.0,2,2.0,608.0,3,3,2,237,152,0,0,0,0,0,0,3,2010,236500,12.373707715234994
10,527162130,60,60.0,7500,7,5,1999,1999,0.0,3,3,3,3,0,0,0.0,0,0.0,994.0,994.0,4,1028,776,0,1804,0.0,0.0,2,1,3,1,4,7,8,1,3,1999.0,3,2.0,442.0,3,3,2,140,60,0,0,0,0,0,0,6,2010,189000,12.149507585033072
11,527163010,60,75.0,10000,6,5,1993,1994,0.0,3,3,4,3,0,0,0.0,0,0.0,763.0,763.0,4,763,892,0,1655,0.0,0.0,2,1,3,1,3,7,8,1,3,1993.0,3,2.0,440.0,3,3,2,157,84,0,0,0,0,0,0,4,2010,175900,12.077676615757813
12,527165230,20,68.0,7980,6,7,1992,2007,0.0,3,4,4,3,0,4,935.0,0,0.0,233.0,1168.0,5,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,8,0,0,1992.0,3,2.0,420.0,3,3,2,483,21,0,0,0,0,0,500,3,2010,185000,12.128116509451258
13,527166040,60,63.0,8402,6,5,1998,1998,0.0,3,3,4,3,0,0,0.0,0,0.0,789.0,789.0,4,789,676,0,1465,0.0,0.0,2,1,3,1,3,7,8,1,4,1998.0,3,2.0,393.0,3,3,2,0,75,0,0,0,0,0,0,5,2010,180400,12.102937429832547
